country-year,Sum of  gdp_for_year ($) 
Belgium2002,3106325239980
Netherlands1988,3102813013716
Sweden1990,3097851406908
Ireland2014,3097188168504
Argentina1995,3096381000000
United Arab Emirates2007,3094993601088
South Africa2005,3092056965012
Argentina1994,3089280000000
Israel2012,3087558954948
Finland2012,3080477593092
Finland2007,3064615384620
Poland2004,3061227034116
Netherlands1989,3060474728880
Belgium1997,3057763193508
United Arab Emirates2009,3042568304964
Chile2011,3027023904348
Finland2009,3017988330096
Denmark2004,3016476440052
Spain1986,3007661561604
Finland2010,2973597789216
Greece2005,2973396022380
Belgium1994,2954339265012
Greece2012,2948047999668
Portugal2011,2938741220544
Chile2015,2927993732856
Colombia2008,2927789254452
Portugal2009,2924948985828
Republic of Korea1989,2922312572604
Netherlands1987,2903025493476
Austria1995,2892459396756
Greece2004,2886255131856
Portugal2007,2882032033944
Sweden2001,2879007851604
Greece2013,2878344137400
Ireland2013,2872672088640
Ireland2011,2868222438984
Portugal2010,2859641321100
Belgium2000,2854859038140
Belgium2001,2854103624160
Austria1996,2847011385492
Greece2014,2844354951132
Argentina1993,2840900580180
Kazakhstan2013,2839614624936
Singapore2010,2837061386136
Ireland2009,2835736037784
Belgium1992,2832460613304
Czech Republic2008,2828623042812
Australia1988,2828399301516
Colombia2009,2805860046528
Israel2010,2803314265092
Argentina2006,2790687129804
Finland2015,2789577996792
Ireland2006,2785026420780
Portugal2014,2755557865464
South Africa2004,2747248174392
Argentina1992,2745463406424
Norway2003,2745029236464
Czech Republic2011,2735380195992
Sweden1994,2712959564544
Portugal2013,2712881915592
Belgium1993,2711096159052
Ireland2012,2706862238328
Philippines2011,2689717004484
Mexico1989,2675724558192
Brazil1985,2675313485220
United Arab Emirates2006,2665398502380
Ireland2010,2663416257144
Thailand2006,2661101842560
Kazakhstan2014,2656986873840
Chile2010,2622450614640
Austria1998,2619118852824
Denmark2003,2617151965020
Poland2003,2610156591504
Austria1999,2606229448116
Finland2006,2598630033876
Portugal2012,2596418143908
Israel2008,2590084255524
Sweden1989,2578504138920
Romania2008,2563260788436
Austria2002,2560533258048
Austria1997,2553484180860
Ireland2005,2539809177960
Belgium1991,2539653798468
Sweden1993,2519409512556
Czech Republic2013,2512829339952
Kazakhstan2012,2495982826392
Czech Republic2014,2493819968688
Czech Republic2010,2489734295028
Israel2009,2489032442892
Colombia2007,2488997935704
Czech Republic2012,2488517124252
Belgium1990,2477170098024
Qatar2014,2474696703300
Czech Republic2009,2474159785968
Finland2005,2453232185052
Sweden1988,2448819093816
Austria1994,2442422912904
Greece2003,2423091243792
Philippines2010,2395089302268
Romania2014,2393921891796
Argentina2005,2384845140144
Qatar2013,2384732967036
Poland2002,2384167647060
Netherlands1986,2379581976252
Austria2001,2368054550340
Republic of Korea1988,2363570344644
Austria2000,2361597346596
Finland2004,2361216786684
Russian Federation1999,2350869212028
Greece2015,2346501134916
Norway2002,2345020165836
Austria1992,2340937516152
Ireland2004,2326444201644
Kazakhstan2011,2311518095664
Singapore2009,2308900653144
Singapore2008,2306710580256
Romania2013,2298588298932
New Zealand2013,2289422457168
Poland2001,2286255160116
Austria1993,2284556651124
Argentina1991,2276639811216
Thailand2005,2271821999448
Czech Republic2007,2270724609120
Australia1987,2268493912128
Denmark1996,2251588804392
Qatar2012,2242002197808
Czech Republic2015,2241959286552
Denmark1995,2220083535624
Mexico1985,2213670688980
Kazakhstan2015,2212661185788
Romania2011,2212408580988
Mexico1988,2197729972284
Thailand1996,2196421849284
Australia1986,2183729714604
United Arab Emirates2005,2167404220560
Sweden1987,2165151441552
Spain1985,2163628946772
Australia1985,2162291938332
Ukraine2008,2159908869984
Singapore2007,2159775462804
Chile2008,2155661955348
Israel2007,2144480613036
Denmark2002,2143621923564
Denmark1999,2135582695452
Romania2015,2134933220160
Denmark1998,2123904011460
New Zealand2012,2114314638612
Romania2007,2111203707504
Ukraine2012,2109376548612
South Africa2003,2103083003952
Philippines2008,2090341635036
Kuwait2013,2089933709448
Kuwait2012,2088840300108
Norway2001,2088038969268
Austria1991,2085530132700
Chile2007,2083271618148
Denmark1997,2082451056096
Thailand2004,2074745713836
Romania2009,2071342144104
Chile2009,2068673981340
Poland2000,2062627182996
Romania2012,2059975664604
Norway2000,2055787679796
Finland2003,2052853273140
Poland1999,2036612134812
Thailand1995,2031342634212
New Zealand2011,2021543984892
Philippines2009,2020015215120
Qatar2011,2013303296700
Romania2010,1999899933924
Austria1990,1997560639956
Belgium1989,1981201135140
Portugal2003,1979570343120
Denmark2001,1977496996200
Argentina2004,1975895165436
Qatar2015,1975697802192
Ireland2003,1971421354404
Denmark2000,1969905605520
Norway1996,1962213401964
Belgium1988,1958014242456
Ukraine2011,1957916060040
Czech Republic2016,1953050849190
Kuwait2014,1951576950108
Colombia2006,1951081753152
Norway1999,1947432044316
Norway1997,1936252438716
Poland1996,1919314565484
Hungary2008,1895981077584
Romania2016,1878059223490
Denmark1994,1873947740784
Czech Republic2006,1865565685356
Chile2006,1857456297672
Norway1998,1849982637744
